,Country,Region,Electricity,Electricity_fj5,Education,Education_fj5,Energy,Energy_fj5,Reserves,Reserves_fj5
149,Malawi,Africa,731000,0,29,1,1792000,0,594498000,0
150,Maldives,South Asia,432000,0,58,3,50886000,0,590523000,0
151,"Gambia, The",Africa,162000,0,28,1,2731000,0,577028000,0
152,Djibouti,Africa,210000,0,36,1,10428000,0,502034000,0
153,Sierra Leone,Africa,149000,0,91,4,2301000,0,495699000,0
154,Eswatini,Africa,285000,0,50,2,18823000,0,479261000,0
155,Belize,Central America and the Caribbean,220000,0,87,4,30752000,0,473729000,0
156,Samoa,Australia and Oceania,54000,0,48,2,23476000,0,447090000,0
157,Saint Lucia,Central America and the Caribbean,93000,0,36,1,47522000,0,424324000,0
158,Grenada,Central America and the Caribbean,60000,0,36,1,41703000,0,404130000,0
159,Tonga,Australia and Oceania,34000,0,66,3,23272000,0,396530000,0
160,Central African Republic,Africa,63000,0,22,0,954000,0,374405000,0
161,Antigua and Barbuda,Central America and the Caribbean,148000,0,38,1,110114000,1,364367000,0
162,Guinea-Bissau,Africa,29000,0,27,0,2351000,0,356400000,0
163,Comoros,Africa,32000,0,26,0,7139000,0,324561000,0
164,Saint Kitts and Nevis,Central America and the Caribbean,72000,0,25,0,81454000,1,286075000,0
165,Saint Vincent and the Grenadines,Central America and the Caribbean,55000,0,57,3,37253000,0,280564000,0
166,Cayman Islands,Central America and the Caribbean,176000,0,21,0,143149000,1,234000000,0
167,Chad,Africa,167000,0,29,1,1502000,0,211591000,0
168,South Sudan,Africa,136000,0,15,0,2092000,0,183615000,0
169,Dominica,Central America and the Caribbean,41000,0,55,2,36395000,0,183530000,0
170,Zimbabwe,Africa,2491000,0,39,1,10855000,0,115530000,0
171,Burundi,Africa,131000,0,50,2,946000,0,90350000,0
172,Togo,Africa,326000,0,40,1,4538000,0,77800000,0
173,Burkina Faso,Africa,749000,0,55,2,3481000,0,49000000,0
174,Sao Tome and Principe,Africa,29000,0,50,2,8875000,0,46247000,0
175,Somalia,Africa,156000,0,3,0,649000,0,30450000,0
